feature,importance
tmax_departure,0.51436985
tmax,0.10766724
doy_sin,0.06015594
doy_cos,0.052919462
rh_mean,0.038805507
tmin_lag3,0.026407966
tmax_lag1,0.023608794
solar_radiation_sum,0.022606203
tmax_lag2,0.02147844
tmean,0.020466303
tmin,0.018187203
cloud_cover_mean,0.017117608
wind_speed_max,0.01649059
pressure_mean,0.015810255
tmin_lag1,0.015504312
tmax_lag3,0.015344124
tmin_lag2,0.013060214
