date,tmax,tmin,tmean,rh_mean,wind_speed_max,pressure_mean,solar_radiation_sum,cloud_cover_mean,tdb,rh,wind_speed,solar_radiation_wm2,cloud_fraction,wet_bulb_temperature,globe_temperature,tmrt,utci,wbgt
2015-01-01,19.2,11.1,14.5,79,17.8,965.9,11.18,57,14.5,79.0,4.944444444444445,129.39814814814812,0.57,12.139318823792987,16.825913640595903,31.255068196001787,12.162430670310153,13.312705904774269
2015-01-02,18.1,11.7,14.9,79,16.0,966.7,7.92,79,14.9,79.0,4.444444444444445,91.66666666666666,0.79,12.522273726018291,16.368014705882352,25.201019806827674,11.595513554611452,13.529194549389274
2015-01-03,18.7,10.5,14.9,78,6.7,966.9,8.02,66,14.9,78.0,1.8611111111111112,92.82407407407406,0.66,12.411654760728556,17.166109986504722,25.22059481518761,17.2776022893321,13.611380329810933
2015-01-04,20.3,7.5,13.1,75,9.3,968.7,14.22,33,13.1,75.0,2.5833333333333335,164.58333333333334,0.33,10.376894500301198,17.630563186813188,36.12733374655227,17.750518868303626,12.099938787573477
2015-01-05,22.3,8.0,13.9,67,15.3,967.0,15.66,0,13.9,67.0,4.25,181.25,0.0,10.276470222254797,18.798648648648648,44.49359935225033,16.799799343322032,12.343258885308089
2015-01-06,22.6,8.0,14.8,68,15.0,965.2,15.45,0,14.8,68.0,4.166666666666667,178.81944444444443,0.0,11.216277947968232,19.67689393939394,44.80968756190839,17.883764420069788,13.26677335145655
2015-01-07,22.0,8.4,14.6,71,10.7,964.7,15.57,0,14.6,71.0,2.972222222222222,180.20833333333331,0.0,11.358863465278962,20.251132404181185,44.056032556728496,20.299621156989804,13.461430906531511
2015-01-08,20.7,7.1,13.6,73,8.0,966.9,15.86,0,13.6,73.0,2.2222222222222223,183.5648148148148,0.0,10.636950954965542,19.954166666666666,42.62949632061486,21.021068921007227,12.79669900180921
2015-01-09,21.1,6.8,13.7,69,8.0,968.2,16.0,1,13.7,69.0,2.2222222222222223,185.18518518518516,0.01,10.304736649338555,20.078205128205127,42.805580249219304,21.010150252086046,12.598956680178013
2015-01-10,22.9,5.6,13.9,65,12.1,967.6,15.97,23,13.9,65.0,3.3611111111111107,184.83796296296296,0.23,10.062655736545386,18.791144102990035,41.42675477758536,17.805278660818114,12.192087836179777
2015-01-11,24.2,7.2,14.8,63,11.5,967.7,16.29,35,14.8,63.0,3.194444444444444,188.54166666666666,0.35,10.667061424562139,19.54549788135593,40.83350773869489,18.63760998667446,12.856042573464684
2015-01-12,23.0,6.8,14.6,69,10.8,967.3,16.34,63,14.6,69.0,3.0,189.12037037037035,0.63,11.140394336293978,18.648357928240742,36.595327050819094,17.807054666285776,12.987947621053934
